title,url,article_section,summary,date,code,tags,text
                     وزارت بهداشت: نتیجه آزمایش بیمار مشکوک به کرونا در زنجان ۲۴ ساعت آینده مشخص می‌شود                 ,https://roozno.com/fa/news/412262/وزارت-بهداشت-نتیجه-آزمایش-بیمار-مشکوک-به-کرونا-در-زنجان-۲۴-ساعت-آینده-مشخص-می‌شود,[], ,2020-02-06 16:52:00,                     ,"['وزارت بهداشت', 'بیمار مشکوک']",
                     درخواست کانادا از ایران درباره هواپیمای اوکراینی                 ,https://roozno.com/fa/news/412263/درخواست-کانادا-از-ایران-درباره-هواپیمای-اوکراینی,[],وزیر خارجه کانادا از ایران درخواست کرد، جعبه‌های سیاه هواپیمای اوکراینی را که ماه گذشته در تهران سقوط کرد، برای تجزیه و تحلیل بیشتر به فرانسه ارسال کند.,2020-02-06 16:56:00,                     ,"['کانادا', 'هواپیمایی اوکراینی']",
                     سرخابی‌ها با گل‌های مطهری و علیپور به رختکن رفتند                 ,https://roozno.com/fa/news/412260/سرخابی‌ها-با-گل‌های-مطهری-و-علیپور-به-رختکن-رفتند,[], ,2020-02-06 16:45:00,                     ,"['سرخابی ها', 'رختکن']",
                     تضمین اسکوچیچ به مسئولان فدراسیون فوتبال/ مبلغ قرارداد سرمربی کروات تیم ملی مشخص شد                 ,https://roozno.com/fa/news/412257/تضمین-اسکوچیچ-به-مسئولان-فدراسیون-فوتبال-مبلغ-قرارداد-سرمربی-کروات-تیم-ملی-مشخص-شد,[], ,2020-02-06 16:35:00,                     ,"['فدارسیون فوتبال', 'مبلغ قرارداد']",
                     وحشت از گرگ های گرسنه در اهر / جلوی چشمانمان حمله کردند                 ,https://roozno.com/fa/news/412259/وحشت-از-گرگ-های-گرسنه-در-اهر-جلوی-چشمانمان-حمله-کردند,[], ,2020-02-06 16:39:00,                     ,"['گرگ های گرسنه', 'وحشت']",
                     دردسر پیام های عاشقانه شوهر خواهر برای عروس جوان / محمدرضا به دادگاه رفت                 ,https://roozno.com/fa/news/412258/دردسر-پیام-های-عاشقانه-شوهر-خواهر-برای-عروس-جوان-محمدرضا-به-دادگاه-رفت,[], ,2020-02-06 16:38:00,                     ,"['دردسر', 'پیام عاشقانه']",
                     دولت جدید آمریکا باید نهایت تلاش خود را برای عادی‌سازی روابط با ایران به کار گیرد                 ,https://roozno.com/fa/news/412256/دولت-جدید-آمریکا-باید-نهایت-تلاش-خود-را-برای-عادی‌سازی-روابط-با-ایران-به-کار-گیرد,[],آمریکن کانسرواتیو در گزارشی به تنش میان ایران و آمریکا پرداخت.,2020-02-06 16:32:00,                     ,"['امریکا', 'ایران']",
                     قیمت طلا، ارز، سکه و دلار امروز پنجشنبه ۱۷ بهمن ۹۸/ هر گرم طلای ۱۸ عیار ۵۰۸۴۰۰۰ هزار تومان                 ,https://roozno.com/fa/news/412254/قیمت-طلا-ارز-سکه-و-دلار-امروز-پنجشنبه-۱۷-بهمن-۹۸-هر-گرم-طلای-۱۸-عیار-۵۰۸۴۰۰۰-هزار-تومان,[], ,2020-02-06 16:12:00,                     ,"['طلا وسکه', 'قیمت']",
                     خوشحالی دیاباته‌ای علی علیپور مقابل چشم هواداران استقلال                 ,https://roozno.com/fa/news/412255/خوشحالی-دیاباته‌ای-علی-علیپور-مقابل-چشم-هواداران-استقلال,[], ,2020-02-06 16:21:00,                     ,"['علیپور', 'خوشحالی دیاباته ای']",
                     تا دقیقه ۳۰ پرسپولیس یک - استقلال یک/ گلزنی مطهری و علیپور                 ,https://roozno.com/fa/news/412253/تا-دقیقه-۳۰-پرسپولیس-یک-استقلال-یک-گلزنی-مطهری-و-علیپور,[], ,2020-02-06 16:09:00,                     ,"['استقلال و پرسپولیس', 'گلزنی']",
